epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,154.529,1.59051,2.51662,0.0098,0.87577,0.75605,0.84368,0.71537,0.66353,0.72356,0.01516,0.00997191,0.00332397,0.00997191,0.00332397,0.00997191,0.00332397,0.00997191,0.00332397
2,274.465,1.59216,1.33702,0.01028,0.8957,0.75481,0.85157,0.68266,0.85304,0.73632,0.02154,0.0197742,0.0065914,0.0197742,0.0065914,0.0197742,0.0065914,0.0197742,0.0065914
3,391.994,1.6344,1.22974,0.0109,0.79917,0.70942,0.78935,0.60384,0.98531,1.02865,0.02461,0.0293785,0.00979282,0.0293785,0.00979282,0.0293785,0.00979282,0.0293785,0.00979282
4,534.756,1.68449,1.24595,0.0115,0.83508,0.73274,0.80498,0.61923,0.96089,0.96207,0.02475,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,689.416,1.68666,1.18576,0.01111,0.88095,0.74997,0.82299,0.60251,1.1366,0.8674,0.03109,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,825.721,1.6608,1.14618,0.01116,0.87609,0.72923,0.81661,0.65989,0.89028,0.81847,0.02208,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,961.652,1.64957,1.11094,0.01099,0.85314,0.77399,0.83359,0.67275,0.90517,0.7451,0.02234,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1102.57,1.64843,1.1054,0.01084,0.912,0.75874,0.84848,0.68551,0.91253,0.71378,0.02328,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1254.21,1.62024,1.06584,0.01078,0.87386,0.78744,0.85151,0.68819,0.86185,0.68857,0.02116,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1372.48,1.61405,1.05463,0.0105,0.92167,0.78092,0.85838,0.72051,0.78601,0.63704,0.01835,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1492.67,1.60272,1.049,0.01039,0.91057,0.77848,0.87026,0.72777,0.7705,0.65124,0.0189,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1616.29,1.60662,1.03673,0.01042,0.91859,0.77918,0.86543,0.71013,0.78655,0.63204,0.01898,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1733.98,1.59618,1.02678,0.01015,0.87857,0.78516,0.86745,0.71955,0.77581,0.61037,0.01857,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1853.5,1.59005,1.01013,0.01025,0.91875,0.78091,0.87389,0.72932,0.77411,0.60972,0.01811,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1973.53,1.59307,1.00851,0.01018,0.87688,0.81435,0.87527,0.73476,0.74772,0.61686,0.01769,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2089.5,1.58859,1.00811,0.01013,0.89471,0.81166,0.88954,0.76126,0.69048,0.53686,0.01562,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2206.4,1.57233,0.99702,0.01001,0.90132,0.82738,0.89628,0.76539,0.703,0.50488,0.01592,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2320.31,1.57045,0.97869,0.00998,0.89341,0.81704,0.881,0.74276,0.75929,0.59299,0.0179,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2433.01,1.56027,0.97938,0.00988,0.93587,0.7853,0.88801,0.76151,0.70078,0.56792,0.01617,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2545.48,1.55992,0.96696,0.00994,0.91459,0.81973,0.89481,0.77171,0.68754,0.52687,0.01552,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2657.92,1.55943,0.96126,0.00982,0.89926,0.82152,0.8953,0.76199,0.71176,0.5405,0.01635,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2767.83,1.55369,0.95601,0.00973,0.92509,0.81883,0.89048,0.7731,0.68171,0.52778,0.01522,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2879.52,1.54412,0.95314,0.00976,0.91038,0.81883,0.88763,0.77261,0.66519,0.54614,0.01476,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2994.96,1.5509,0.94888,0.00974,0.92696,0.81794,0.89648,0.78343,0.65284,0.51831,0.01439,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3107.71,1.54141,0.94381,0.00965,0.91169,0.8148,0.89543,0.78334,0.64455,0.52722,0.01412,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3220.73,1.54236,0.94322,0.00964,0.92678,0.8173,0.90366,0.78571,0.6452,0.51656,0.01444,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3335,1.53149,0.93389,0.00956,0.89938,0.82063,0.9017,0.78795,0.6451,0.5084,0.01369,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3447.7,1.52169,0.91846,0.00965,0.90434,0.83089,0.89649,0.7855,0.63334,0.50284,0.01381,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3561.11,1.53861,0.93247,0.00944,0.9346,0.80746,0.89667,0.79382,0.61872,0.53437,0.01323,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3675.42,1.52196,0.92742,0.00956,0.91874,0.81435,0.90048,0.79775,0.60565,0.50881,0.0129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3793.54,1.53332,0.93414,0.00953,0.90135,0.81943,0.89617,0.76756,0.6861,0.53152,0.01539,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3907.04,1.52652,0.9244,0.00951,0.91472,0.82691,0.89766,0.79137,0.62107,0.50312,0.01379,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4021.85,1.52212,0.91117,0.0094,0.91082,0.82242,0.89963,0.80262,0.59572,0.49819,0.01251,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4144.6,1.52773,0.91398,0.00934,0.92218,0.82895,0.89944,0.79963,0.61898,0.47513,0.01303,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4267.31,1.51946,0.90388,0.0094,0.91927,0.82725,0.90134,0.79549,0.61842,0.49009,0.01317,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4391.07,1.51831,0.89803,0.00938,0.91511,0.82511,0.89916,0.79918,0.5986,0.52864,0.01275,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4513.73,1.51173,0.89714,0.0092,0.91577,0.83946,0.90288,0.80648,0.59593,0.47613,0.0124,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4634.53,1.51026,0.88653,0.00929,0.90323,0.83677,0.9009,0.80759,0.59268,0.48759,0.01235,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4763.98,1.50735,0.88988,0.00918,0.92967,0.81797,0.89895,0.80108,0.59707,0.48824,0.0125,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4885.68,1.49562,0.88609,0.00926,0.93598,0.82613,0.89814,0.80687,0.6092,0.46484,0.01287,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5007.54,1.50245,0.88531,0.00911,0.93716,0.82933,0.905,0.81566,0.57899,0.46586,0.01193,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5127.64,1.5007,0.88471,0.00911,0.94573,0.8278,0.90757,0.81184,0.5845,0.44838,0.01202,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5241.1,1.50596,0.88116,0.00918,0.9413,0.8197,0.90327,0.81045,0.56978,0.47329,0.01187,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5353.63,1.49965,0.88186,0.00899,0.9142,0.8314,0.90058,0.81138,0.56668,0.49426,0.01166,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5465.91,1.49291,0.87929,0.00908,0.92662,0.81541,0.9009,0.81191,0.57037,0.48895,0.01167,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5578.69,1.48433,0.88381,0.00905,0.92961,0.83857,0.90716,0.81438,0.57416,0.4622,0.01173,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5690.3,1.49399,0.87263,0.00888,0.91357,0.84753,0.91397,0.8126,0.58269,0.45128,0.01187,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
