epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,404.965,1.58653,1.43762,0.01084,0.8753,0.76951,0.86738,0.74649,0.63191,0.58403,0.01512,0.00999561,0.00333187,0.00999561,0.00333187,0.00999561,0.00333187,0.00999561,0.00333187
2,713.255,1.57572,1.17509,0.0112,0.88019,0.74978,0.8423,0.68274,0.834,0.69267,0.02221,0.0197977,0.00659922,0.0197977,0.00659922,0.0197977,0.00659922,0.0197977,0.00659922
3,995.533,1.62496,1.1994,0.01221,0.81097,0.72108,0.80121,0.61298,0.91158,0.83834,0.02541,0.0294017,0.00980057,0.0294017,0.00980057,0.0294017,0.00980057,0.0294017,0.00980057
4,1253.77,1.66802,1.23188,0.01254,0.8346,0.75574,0.82993,0.63403,0.97957,0.74447,0.02714,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1550.73,1.63765,1.16901,0.01224,0.83012,0.7538,0.83332,0.66912,0.85996,0.71888,0.0225,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1835.01,1.63157,1.13669,0.01193,0.87119,0.79193,0.85473,0.67264,0.88176,0.66744,0.02424,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2116.25,1.60878,1.11193,0.0117,0.8578,0.77366,0.84701,0.69466,0.77528,0.64553,0.02004,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2399.48,1.59202,1.0878,0.0115,0.86781,0.78744,0.86773,0.70943,0.79745,0.61128,0.02129,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2680.13,1.57687,1.06217,0.01125,0.88642,0.77489,0.86033,0.69723,0.77961,0.61769,0.0202,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2961.68,1.58316,1.04367,0.01118,0.88369,0.79043,0.8757,0.71681,0.75865,0.5648,0.01947,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3242.05,1.55611,1.02819,0.01102,0.88825,0.79193,0.87382,0.74377,0.68082,0.55449,0.01678,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3519.61,1.56189,1.01468,0.01099,0.89271,0.79098,0.88261,0.73926,0.71059,0.5455,0.01792,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3803.29,1.54166,1.00684,0.0108,0.89897,0.79372,0.8837,0.75375,0.68964,0.54862,0.01701,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4084.59,1.53966,1.00363,0.01088,0.9041,0.7991,0.88757,0.76573,0.66487,0.4987,0.01603,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4366.15,1.53283,0.98721,0.01065,0.92526,0.77725,0.88513,0.7564,0.69204,0.53359,0.01737,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4647.53,1.52264,0.97226,0.01076,0.91132,0.79283,0.89576,0.75965,0.69483,0.48707,0.01734,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4929.21,1.52676,0.96444,0.0106,0.90703,0.80359,0.88637,0.76671,0.65846,0.50733,0.01587,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5210.59,1.5072,0.96155,0.01055,0.89459,0.83729,0.90147,0.78323,0.64574,0.46246,0.01555,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5493.49,1.50876,0.95415,0.01034,0.90416,0.82071,0.90919,0.79,0.61711,0.44195,0.0146,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5773.68,1.50796,0.93847,0.01047,0.89711,0.82422,0.89922,0.78006,0.65373,0.45962,0.01578,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6052.07,1.50036,0.94684,0.01031,0.88328,0.84843,0.90468,0.79194,0.60439,0.45281,0.01426,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6333.7,1.49481,0.93192,0.01024,0.88856,0.83229,0.90234,0.78463,0.63423,0.4637,0.01529,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6614.03,1.50025,0.93843,0.01023,0.92718,0.82332,0.90318,0.79867,0.59097,0.43744,0.0137,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6894.9,1.48793,0.93183,0.01012,0.91478,0.80628,0.90541,0.79072,0.59196,0.46152,0.01369,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7173.63,1.49094,0.91988,0.01013,0.90675,0.81883,0.90198,0.78626,0.62525,0.46857,0.01486,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,7452.05,1.4847,0.91893,0.01002,0.91848,0.7991,0.90309,0.80224,0.5674,0.46899,0.01296,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,7735.2,1.48548,0.90814,0.0099,0.93085,0.80179,0.90206,0.79482,0.59124,0.44199,0.01341,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8014.74,1.47852,0.8862,0.01005,0.92455,0.82421,0.90252,0.79857,0.59043,0.45827,0.01358,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,8294.55,1.47386,0.89018,0.00985,0.92055,0.84173,0.9112,0.80795,0.56497,0.43774,0.01291,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,8573.85,1.47027,0.89185,0.00984,0.93273,0.8083,0.90412,0.80544,0.55248,0.44468,0.01252,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,8856.34,1.45989,0.88451,0.00981,0.90763,0.83946,0.9089,0.80893,0.55611,0.43883,0.01294,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,9139.74,1.46365,0.88673,0.0098,0.91093,0.83767,0.90714,0.81062,0.55969,0.43564,0.01258,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9420.55,1.4622,0.87356,0.00978,0.91571,0.82815,0.90287,0.8031,0.58497,0.44728,0.0135,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
