epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3107.36,1.56222,0.88143,0.00583,0.77778,0.55303,0.64341,0.39721,1.68721,1.1116,0.00628,0.0149993,0.00499976,0.0149993,0.00499976,0.0149993,0.00499976,0.0149993,0.00499976
2,5466.7,1.59246,0.89998,0.00613,0.77105,0.48482,0.57577,0.33487,1.90434,1.2997,0.00763,0.0295043,0.00983477,0.0295043,0.00983477,0.0295043,0.00983477,0.0295043,0.00983477
3,7810.16,1.63758,0.97216,0.00647,0.76334,0.53177,0.62575,0.37618,1.78613,1.17756,0.00717,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
4,10225.9,1.62141,0.93842,0.00636,0.76155,0.58292,0.67616,0.42214,1.61948,1.10228,0.00609,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,12590,1.60899,0.92614,0.00629,0.76492,0.61035,0.70118,0.44347,1.54867,1.03349,0.00565,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,14883.5,1.60105,0.91371,0.00622,0.76979,0.6228,0.71258,0.4525,1.52202,1.02204,0.00546,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,17178.9,1.59555,0.90584,0.0062,0.76886,0.62907,0.71549,0.45654,1.50804,1.01578,0.00527,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,19468.8,1.58775,0.9043,0.00615,0.77098,0.63189,0.7177,0.45842,1.50126,1.01542,0.00523,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,21780.9,1.58734,0.89848,0.00614,0.77338,0.63223,0.71855,0.45909,1.49722,1.02479,0.00517,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,24170,1.58284,0.89025,0.0061,0.77251,0.63549,0.71832,0.4583,1.49544,1.02831,0.00514,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,26563.9,1.57855,0.88661,0.00604,0.76931,0.63684,0.71879,0.45855,1.49424,1.01774,0.00512,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,28960.6,1.57751,0.88678,0.00605,0.76491,0.63791,0.71885,0.45917,1.49344,1.00964,0.00512,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,31408.6,1.57277,0.88306,0.00604,0.76435,0.63757,0.716,0.45736,1.49213,1.00729,0.00511,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,33883.2,1.5726,0.88002,0.00604,0.76305,0.63784,0.71786,0.45942,1.49115,1.00545,0.00511,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,36240.2,1.56969,0.87887,0.00601,0.76135,0.63753,0.7182,0.46043,1.49012,1.00539,0.00512,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,38692.4,1.56994,0.87534,0.00599,0.76109,0.63702,0.71864,0.46108,1.48887,1.00529,0.0051,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,41176.7,1.56617,0.87304,0.00599,0.76023,0.63753,0.71886,0.46131,1.48677,1.00627,0.00509,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,43557.8,1.56269,0.86876,0.00594,0.7617,0.63498,0.71821,0.46133,1.48496,1.01026,0.00508,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,45955.3,1.55986,0.86885,0.00594,0.76119,0.63683,0.71917,0.46213,1.48343,1.00887,0.00508,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,48337.9,1.56018,0.86106,0.00594,0.76144,0.63747,0.71958,0.46268,1.48292,1.00652,0.00507,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,50718,1.55515,0.86225,0.0059,0.76335,0.63505,0.71902,0.46265,1.48217,1.01153,0.00509,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,53108.3,1.55281,0.85775,0.00587,0.76383,0.63743,0.71947,0.46244,1.48008,1.01306,0.00508,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,55494.6,1.5485,0.85285,0.00585,0.76897,0.63748,0.72046,0.46263,1.47807,1.01822,0.00508,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,57878.8,1.54946,0.85284,0.00584,0.7688,0.64081,0.72233,0.46373,1.47637,1.01261,0.00506,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
25,60281.2,1.54608,0.85235,0.00582,0.76871,0.64315,0.72403,0.46487,1.47538,1.00791,0.00506,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
26,62675.6,1.54234,0.84407,0.00578,0.77005,0.64363,0.7253,0.46603,1.47402,1.00778,0.00507,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
27,65069.6,1.54017,0.84539,0.00576,0.77292,0.64403,0.72742,0.46749,1.47239,1.00376,0.00505,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
28,67480.2,1.53521,0.84357,0.00575,0.77181,0.64699,0.72885,0.46896,1.47065,0.99809,0.00504,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
29,69875.2,1.53591,0.84349,0.00573,0.7723,0.64624,0.72952,0.46978,1.46931,0.99657,0.00503,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
30,72260.7,1.53233,0.83449,0.00571,0.77603,0.64494,0.73074,0.47102,1.46753,0.99969,0.00502,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
31,74660.4,1.52942,0.83291,0.00569,0.77847,0.64581,0.73194,0.47178,1.46644,1.00116,0.00502,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,77041.6,1.52529,0.83245,0.00567,0.77997,0.64605,0.73318,0.47231,1.46556,1.0017,0.00502,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,79434.9,1.52197,0.82385,0.00568,0.77863,0.64889,0.73405,0.47274,1.46456,0.99995,0.00504,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,81841.6,1.52177,0.82232,0.00564,0.7795,0.64997,0.73348,0.47234,1.46246,1.0031,0.00501,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,84270.6,1.51655,0.81863,0.00562,0.77517,0.65233,0.73167,0.47136,1.46011,1.00198,0.00495,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,86689.9,1.51494,0.81905,0.00559,0.77314,0.65474,0.73322,0.47333,1.45819,0.9956,0.00493,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
